t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7,mu_8,nu_8,tau_8
0,-1,1,1.5,1,5.01082388892127E-29,-2.86103149934168E-29,9.60000768909909E-30,0,0,0,7.31603201019458E-28,3.61370394035204E-28,4.59194477440935E-29,6.3562580277208E-25,2.11236982272062E-25,0.001439048442514,-3.89928412770461E-27,-1.92602462601908E-27,-6.57385669210469E-09,2.45250000091621,2.45250002352891,2.45250000091621,2.45250002352891,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0.187625,-1,1,1.500004050022,1,-8.70469172584986E-29,-2.63065557319225E-29,-9.25064905574963E-12,1.19259292428965E-25,3.96333391922245E-26,0.000270001466707,9.29646384153993E-36,1.99911528227492E-35,-1.23341987409995E-09,0.000991986194954,-0.003901957108874,-0.331464069135448,3.36608402321464,0.85572674955572,0.091291184348611,2.55000001409579,0.999999992159717,1.62804531971537,2.55000002509205,0.998735776233816,0.001264223766184,0.090000001257722,0.998735767049991,0.001264232950008,0.045000004230448,0.998735758260398,0.001264241739602,0.045000007789843,0.99873575060171,0.00126424939829,3.94983793503146E-06,0.998735776247866,0.001264223752134,0.089999957304085,0.998735766874342,0.001264233125658,0.045000004301578,0.998735757709643,0.001264242290357,0.045000008012876,0.998735748962595,0.001264251037405,3.94983280766557E-06,0.998735741468498,0.001264258531501,0.044086790412664
0.37525,-0.999998604551327,0.999994509062327,1.49907931355643,0.999988048520731,0.004736778454617,0.001203825143624,0.000128463701408,0.000186121411676,-0.00073210470982,-0.061920945122183,0.631561521124977,0.160555732979183,0.017128507400018,0.008296417249108,-0.030542218866689,0.00798223002162,0.471794272326034,0.474378536539488,0.050425273466399,2.55000000736974,2.2030951133119,2.55000000529995,2.55000002499595,0.99747154820061,0.001264228033206,0.090000001237895,0.997471539016794,0.001264228033198,0.045000001626582,0.997471530227217,0.001264228033181,0.044999999506048,0.997471522568593,0.001264228033117,4.37372495577487E-06,0.997471548228987,0.001264228018878,0.08999995641665,0.997471538855463,0.001264228018878,0.045000001620783,0.997471529690765,0.001264228018878,0.044999999500256,0.997471520943718,0.001264228018877,4.37372500032004E-06,0.997471513449621,0.001264228018877,0.044086784236516
0.562875,-0.999974225516361,0.99990156509759,1.49724446891105,0.999880119792659,0.014873650017804,0.00427885295995,0.000460270810451,0.001742736713492,-0.006462588581567,-0.06042327919951,0.720081922348866,0.249561006780934,0.026589549428068,0.020103556611268,-0.066096694306914,0.062297998802341,-0.000885044617175,0.002550921509799,-5.52285362374424E-09,2.54999999512509,2.55000002302554,2.55000001477202,2.55000002486651,0.996207246237241,0.001264301963369,0.090000001218946,0.996207237053432,0.001264301963361,0.04500001981658,0.996207228263872,0.001264301963345,0.044999982190685,0.996207220605309,0.001264301963284,7.75107321621648E-06,0.996207246280233,0.001264301948754,0.089999955504801,0.996207236906709,0.001264301948755,0.045000019810665,0.99620722774201,0.001264301948755,0.044999982184777,0.996207218994962,0.001264301948755,7.75107326165879E-06,0.996207211500866,0.001264301948755,0.044086746588171
0.7505,-0.99987111458898,0.999538167346091,1.49560784076281,0.999637861182037,0.02567111216688,0.008024085319357,0.000868561788287,0.005514666560124,-0.018863980974007,-0.048734617058191,0.719915865850921,0.250039623433962,0.026589548391843,0.032381864145905,-0.101245992677349,0.06029407567485,-0.00088678220088,0.002550371013895,-9.1099976609225E-09,2.54999996845774,2.55000002416108,2.55000001771815,2.5500000246878,0.994942647831589,0.001264598405652,0.090000001203007,0.994942638647787,0.001264598405645,0.045000088021556,0.994942629858244,0.001264598405628,0.044999915529966,0.994942622199744,0.001264598405565,1.37082722604943E-05,0.994942647889492,0.001264598390741,0.089999954580657,0.994942638515968,0.001264598390741,0.045000088015519,0.994942629351269,0.001264598390741,0.04499991552394,0.994942620604222,0.001264598390741,1.37082723068354E-05,0.994942613110125,0.001264598390741,0.044086566418464
0.938125,-0.999620307718486,0.998703775566014,1.49431663192284,0.99926481901328,0.036462717005543,0.011775441382781,0.001276943386868,0.01159031388081,-0.037860260538665,-0.037421940997399,0.719749483338829,0.250518136800194,0.02658954668258,0.044694712328021,-0.136324353817268,0.057439601258401,-0.000888580989576,0.002549882688551,-1.97080214206826E-08,2.54999989429302,2.55000002453113,2.55000001908853,2.55000002443339,0.993677357199584,0.001265290632005,0.090000001192504,0.993677348015791,0.001265290631997,0.045000240400329,0.993677339226265,0.001265290631979,0.044999765048093,0.993677331567829,0.001265290631915,2.10067525383292E-05,0.993677357272708,0.001265290616785,0.089999953658955,0.993677347899183,0.001265290616785,0.045000240394163,0.993677338734485,0.001265290616785,0.044999765041945,0.993677329987436,0.001265290616785,2.10067525855702E-05,0.99367732249334,0.001265290616785,0.044086107808972
1.12575,-0.999152593143434,0.997200734140778,1.49335716844032,0.998761042273763,0.047247045616552,0.015532425170719,0.001685448979027,0.019976159364599,-0.063438117677534,-0.026644835704311,0.719582763329005,0.250996558544382,0.026589542984862,0.057035638947195,-0.171313361881527,0.053736039849548,-0.000890736642594,0.002549749963628,-6.85854602473432E-08,2.54999955708789,2.55000002470916,2.5500000198392,2.55000002405732,0.992410806244569,0.001266550955015,0.090000001189846,0.992410797060784,0.001266550955007,0.045000511101839,0.992410788271276,0.001266550954989,0.044999496767234,0.992410780612906,0.001266550954923,3.02782866279341E-05,0.992410806333231,0.001266550939476,0.08999995275523,0.992410796959708,0.001266550939476,0.045000511095538,0.992410787795009,0.001266550939476,0.044999496760964,0.992410779047961,0.001266550939476,3.02782866760644E-05,0.992410771553864,0.001266550939476,0.04408523728084
1.31338,-0.998398582861861,0.994831838589326,1.49271099273552,0.998126597141482,0.058022679776592,0.019294539615905,0.002094111864355,0.030677471228295,-0.095580787519627,-0.016562611127456,0.719415638864779,0.251474955386057,0.026589530116515,0.068955728330342,-0.204118513678257,0.034434034576823,-0.127803139419476,0.129301740797399,-0.013547182995107,2.45680105273179,2.5500000248096,2.55000002028044,2.55000002347455,0.991142253053887,0.001268553190682,0.090000001197429,0.99114224387011,0.001268553190674,0.045000935593372,0.99114223508062,0.001268553190656,0.044999076172846,0.991142227422318,0.001268553190588,4.51273253928786E-05,0.99114225315842,0.001268553174811,0.089999951885934,0.991142243784896,0.001268553174811,0.045000935586925,0.991142234620198,0.001268553174811,0.044999076166452,0.991142225873149,0.001268553174811,4.51273254418716E-05,0.991142218379053,0.001268553174811,0.0440838256262
1.501,-0.997290210611788,0.99140586271265,1.49231331146723,0.997369752325398,0.068609255216527,0.023240139216742,0.00249860789355,0.043615289884706,-0.133878524028681,-0.010101925325846,0.695436574593167,0.275735194743994,0.024047739881826,0.08034421398625,-0.229032468030912,-0.022628602786502,-0.575157880763608,0.575945317842166,-0.061309487684976,2.12821629299791,2.55000002487063,2.55000002054409,2.55000002251106,0.989870783774321,0.001271469279566,0.090000001217554,0.989870774590552,0.001271469279558,0.045001550584772,0.98987076580108,0.00127146927954,0.044998468812283,0.989870758142848,0.001271469279471,7.4040960620559E-05,0.989870783895069,0.001271469263352,0.089999951067965,0.989870774521544,0.001271469263352,0.045001550578169,0.989870765356846,0.001271469263352,0.044998468805766,0.989870756609798,0.001271469263352,7.40409606703665E-05,0.989870749115701,0.001271469263352,0.044081753732321
1.68863,-0.995762900966241,0.986758817810222,1.49194900489428,0.996535539475206,0.078195771240166,0.028177598120779,0.002891892085167,0.058689873183517,-0.176850741269554,-0.014347616965809,0.587522576143663,0.383796936076828,0.012544547140744,0.101719243774078,-0.267991507730956,0.038378846035232,-0.000643108508713,0.00098336753984,-1.5389386644672E-07,2.54999896624591,2.55000002490865,2.55000002069554,2.5500000207585,0.988595328418512,0.001275455355808,0.090000001252189,0.988595319234752,0.0012754553558,0.045002390179276,0.988595310445299,0.001275455355781,0.044997644860132,0.988595302787137,0.00127545535571,0.000132868133315,0.988595328555832,0.001275455339236,0.089999950317108,0.988595319182308,0.001275455339236,0.045002390172506,0.988595310017609,0.001275455339236,0.044997644853493,0.988595301270561,0.001275455339236,0.000132868133366,0.988595293776465,0.001275455339236,0.044078919849551
