t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4
0,-1,-1,1.5,1,1.02459367109491E-27,-4.76873343015309E-28,2.69635853720709E-28,0,0,0,5.11019366367637E-24,0,2.25695534594411E-24,-8.27372893862826E-26,-3.33312112007339E-26,-0.050412764408734,1.83395253572744E-24,-4.25507927440013E-24,0.046483903185517,2.45250002419444,2.13271013539661,2.45250002419444,2.13271013539661,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0.37525,-1,-1,1.49971623914952,0.999999991442654,8.42865397928739E-26,-1.63585449114296E-25,0.000130823135953,-3.10471681503989E-26,-1.25075371272341E-26,-0.018917390032165,5.79838435953956E-24,-1.59671851356882E-24,0.017443084843518,0.002092248736553,0.000267484450167,-0.187958782935712,-0.238592000705171,1.87236047177392,-0.025440234284848,0.999999990913187,1.35003649945867,2.55000002535909,2.54999994385259,0.998735776250029,0.001264223749971,0.089999990787747,0.998735766876505,0.001264233123495,0.045000004311122,0.998735757711807,0.001264242288193,0.045000008022421,0.998735748964759,0.001264251035241,3.99008296331732E-06,0.998735741470663,0.001264258529337,0.044086790503053
0.7505,-0.999994111539715,-0.999999247554021,1.49809077597314,0.999985839128788,-0.000672459771682,0.005269375345773,0.000320869048592,0.000785116346185,0.000100373540922,-0.089448924028937,-0.089531649153371,0.702603274007706,0.007896636833364,0.016945790038126,0.002479180904249,0.003547216870738,-0.239877961639164,0.239704430019804,-0.025589114547132,2.19791420749293,2.55000000695993,2.55000002533274,2.5499991212672,0.997471548824251,0.001264227425778,0.089999990669425,0.997471539450727,0.001264227425778,0.04499999941637,0.997471530286029,0.001264227425778,0.045000002075649,0.997471521538982,0.001264227425777,5.77238674700396E-06,0.997471514044885,0.001264227425777,0.044086777188763
1.12575,-0.999891732498962,-0.999985273522335,1.49542764495402,0.999860469945733,-0.002694262847738,0.016481593530152,0.000372444182229,0.007144024121115,0.001030686184476,-0.08811783088498,-0.179545855152012,0.792552362265537,-0.001705678495767,0.034276895687001,0.006776592511472,-0.008781676902821,-0.339846276318237,-0.339700695835807,0.03625068288861,2.55000002448352,2.55000001586867,2.55000002529933,2.05122084131808,0.996207249769754,0.001264299054498,0.089999990551726,0.99620724039623,0.001264299054498,0.044999977644966,0.996207231231531,0.001264299054498,0.045000026083277,0.996207222484483,0.001264299054499,1.44078031493805E-05,0.996207214990387,0.001264299054499,0.044086575340437
1.501,-0.99950036266681,-0.999921530174204,1.49273542618146,0.999604017972998,-0.006345186254712,0.02741005461875,0.000484177590309,0.020006429355343,0.003573602549649,-0.091413155175475,-0.307073171606358,0.665079674887765,0.011897390393218,0.05083093097546,0.014008359892185,0.004750045389818,-0.216757932235267,-0.216466600879113,0.023065662805433,2.55000002496038,2.5500000186349,2.55000002525623,2.23263572961425,0.994942664793146,0.001264584976607,0.089999990439188,0.994942655419623,0.001264584976607,0.044999894848482,0.994942646254924,0.001264584976607,0.045000113040133,0.994942637507875,0.001264584976607,3.04586780313135E-05,0.994942630013779,0.001264584976608,0.044085766274927
1.87625,-0.998627897273808,-0.999743213487586,1.49002079720774,0.999256573378134,-0.011556195168366,0.036770803063553,0.000813913820379,0.03908073639323,0.008830239651372,-0.089630700625252,-0.388411586485065,0.58385058210154,0.020552780446876,0.065466872600081,0.023373957241136,0.012561487107341,-0.139632927645918,-0.139413729392702,0.014812415303316,2.55000002511715,2.55000001997833,2.5500000251996,2.34619353742109,0.993677415070668,0.001265249722479,0.08999999033701,0.993677405697144,0.001265249722479,0.044999717886111,0.993677396532445,0.001265249722479,0.045000296298799,0.993677387785397,0.001265249722479,5.46968782650229E-05,0.9936773802913,0.001265249722479,0.044083935361579
2.2515,-0.997099448544786,-0.999356072428955,1.48740388067838,0.998822469010984,-0.017763632832415,0.045126984211016,0.001297489018097,0.063647180580274,0.017601317193177,-0.084917002541431,-0.440808843104329,0.531535579627612,0.026111139344621,0.079918023671319,0.034427967987225,0.027224583773341,-0.000952286691806,-0.000795027045119,2.97621815009078E-06,2.55000002519376,2.55000002077093,2.5500000251237,2.54995907926457,0.992410948104245,0.001266466966423,0.089999990250751,0.992410938730721,0.001266466966423,0.044999425110338,0.992410929566022,0.001266466966423,0.045000597668862,0.992410920818974,0.001266466966423,8.76457404894982E-05,0.992410913324877,0.001266466966423,0.044080696771812
2.62675,-0.994752277915012,-0.998644370855033,1.48501123193385,0.998291110619773,-0.024362250218652,0.053084202864777,0.001845552046105,0.093636419260631,0.030520412308627,-0.074700977379073,-0.441166188688976,0.53123724572597,0.026112256170493,0.089425213299888,0.044086046088818,-0.000926044782927,-0.226562806314943,-0.22656098584207,0.024077893429833,2.55000002523818,2.55000002128721,2.55000002501953,2.21870827699855,0.991142529521736,0.001268418582509,0.089999990186247,0.991142520148212,0.001268418582509,0.044999002761614,0.991142510983513,0.001268418582509,0.045001031364135,0.991142502236465,0.001268418582509,0.000130862317957,0.991142494742368,0.001268418582509,0.044075675928491
3.002,-0.991450534120834,-0.997491344524359,1.48276681756194,0.997671146949376,-0.03159220747828,0.060397810337134,0.002513710300256,0.127193230884523,0.047063701267676,-0.075048475687316,-0.526183882602605,0.446220234944793,0.035147485769728,0.103494569940096,0.058081118759954,0.023201206479832,-0.001049509916806,-0.001237759166623,5.533678967885E-07,2.55000002526647,2.55000002164252,2.55000002487179,2.54999241461454,0.989871257331719,0.001271272190016,0.089999990148833,0.989871247958196,0.001271272190016,0.04499844377663,0.989871238793497,0.001271272190016,0.045001606513163,0.989871230046448,0.001271272190017,0.000191909562489,0.989871222552352,0.001271272190016,0.04406854148005
3.37725,-0.98706221914713,-0.995764571854245,1.48064811180972,0.996962778468082,-0.0394526673513,0.067065497542133,0.003305100468682,0.166029568640061,0.068858641298701,-0.066342222869335,-0.526577711202796,0.445755765812907,0.035147693421034,0.114147680549881,0.070936487620743,0.020732994426602,-0.001044645351946,-0.00123490204428,1.49620510549174E-07,2.55000002528538,2.55000002189024,2.55000002465495,2.54999796939653,0.98859604952958,0.00127520780214,0.089999990144072,0.988596040156056,0.00127520780214,0.044997745123371,0.988596030991357,0.00127520780214,0.045002329638696,0.988596022244309,0.00127520780214,0.000283382382406,0.988596014750212,0.00127520780214,0.044058942787343
